"Director","Frecuencia"
"Cathy Malkasian|Jeff McGrath",1
"Cathy Yan",1
"Caveh Zahedi",1
"C�dric Jimenez",2
"C�dric Klapisch",2
"Cecil B. DeMille",3
"Cecilia Aranovich",2
"Cecilia Aranovich|Ian Hamilton",1
"Cecilia Verheyden",1
"Cedric Nicolas-Troyan",2
"Cedric Sundstrom",2
"Cess Silvera|Lyndale V. Pettus|Adam Doench",1
"Chad Archibald",1
"Chad Faust",1
"Chad Stahelski",3
"Chae Gil-byeong",1
"Chandran Rutnam",1
"Chang",1
"Chang Cheh",1
"Chapman Way|Maclain Way",1
"Charles Band",2
"Charles Crichton",1
"Charles de Lauzirika",3
"Charles E. Bastien",1
"Charles E. Bastien|Keith Chapman",2
"Charles Ferguson",1
"Charles Grosvenor",6
"Charles Guard|Thomas Guard",1
"Charles Herman-Wurmfeld",1
"Charles Laughton",1
"Charles Martin",1
"Charles Martin Smith",4
"Charles Shyer",2
"Charles Stone III",4
"Charles T. Kanganis",2
"Charles Todd|Devin Amar",1
"Charles Van Tieghem",1
"Charlie Bean",1
"Charlie Chaplin",6
"Charlie David",2
"Charlie Kaufman",2
"Charlie Kaufman|Duke Johnson",1
"Charlie McDowell",2
"Charlie Stratton",1
"Chase Garcia",1
"Chase Palmer",1
"Chava Cartas",1
"Che Sandoval",1
"Chee Keong Cheung",1
"Chen Kaige",3
"Chen Kaige|Tsui Hark|Dante Lam",1
"Chen Sicheng",1
"Cheng Teng|Li Wei",1
"Cheyenne Carron",1
"Cheyenne Gordon",1
"Chiaki Kon",3
"Chin Ka-Lok",1
"Chin Man-Kei",2
"Chip Rosenbloom",1
"Chiwetel Ejiofor",1
"Chlo� Zhao",3
"Cho Il",1
"Cho Sun-ho",1
"Cho Ting-Wu",1
"Cho Ui-seok|Kim Byung-seo",1
"Choi Dong-hoon",2
"Choi Jae-hoon",1
"Choi Sang-hoon",1
"Chris Addison",1
"Chris Angel",2
"Chris Appelhans",1
"Chris Bolan",1
"Chris Bouchard|Blake Harris",1
"Chris Brinker",1
"Chris Buck|Jennifer Lee",3
"Chris Butler",1
"Chris Carter",1
"Chris Columbus",11
"Chris Evans",1
"Chris Fisher",3
"Chris Fisher|Roel Rein�|Kevin Tancharoen|Billy Gierhart|David Straiton|Neasa Hardiman",1
"Chris Foggin",1
"Chris Gerolmo",1
"Chris Gorak",1
"Chris Graham|Kenji Ono",1
"Chris Helton",1
"Chris Kentis",1
"Chris Kentis|Laura Lau|Robert Levi",1
"Chris Koch",1
"Chris McCoy",1
"Chris McKay",3
"Chris Miller",2
"Chris Morris",1
"Chris Moukarbel",1
"Chris Nahon",2
"Chris Nelson",2
"Chris Noonan",1
"Chris Palmer",3
"Chris Peckover",1
"Chris Renaud",3
"Chris Riedell|Nick Riedell",1
"Chris Roland|Maradona Dias Dos Santos",1
"Chris Sanders",1
"Chris Sanders|Dean DeBlois",2
"Chris Sanders|Kirk DeMicco",1
"Chris Sivertson|Lucky McKee",1
"Chris Smith",2
"Chris Sparling",1
"Chris Stokes",1
"Chris Wedge",4
"Chris Weitz",3
"Chris Weitz|Paul Weitz",2
"Chris Williams|Byron Howard",1
"Chris Williams|Don Hall",1
"Christian Alvart",2
"Christian Bisceglia|Ascanio Malgarini",1
"Christian Carion",2
"Christian Ditter",2
"Christian Duguay",3
"Christian E. Christiansen",2
"Christian Forte",1
"Christian Gonz�lez",1
"Christian Gudegast",1
"Christian Molina",1
"Christian Petzold",1
"Christian Rivers",1
"Christian Schwochow",1
"Christian Sesma",1
"Christian Volckman",1
"Christie Will",1
"Christin Baker",1
"Christina Wayne",1
"Christine Luby",1
"Christoffer Boe",2
"Christoph Lauenstein|Wolfgang Lauenstein",1
"Christophe Barratier",1
"Christophe Gans",3
"Christophe Honor�",2
"Christopher Alender",1
"Christopher Berkeley",1
"Christopher Cain",1
"Christopher Caldwell|Zeek Earl",1
"Christopher Cantwell",1
"Christopher Daniel Barnes|Hank Azaria|Sara Ballantine|Ed Asner",1
"Christopher Erskin",1
"Christopher Guest",1
"Christopher Hool",1
"Christopher Jenkins",1
"Christopher Landon",5
"Christopher Louie",1
"Christopher MacBride",1
"Christopher McQuarrie",3
"Christopher Menaul",1
"Christopher Nolan",10
"Christopher Ray",4
"Christopher Reeve|Colin Brady|Dan St. Pierre",1
"Christopher Smith",3
"Christopher Spencer",1
"Christopher Sun",1
"Chu Yen-ping",1
"Chuck Jones|Ben Washam",1
"Chuck Jones|Robert McKimson|Greg Ford|Terry Lennon|Friz Freleng",1
"Chuck Lorre",1
"Chuck Patton",1
"Chuck Russell",6
"Chuck Sheetz",2
"Ciar�n Foy",3
"Cindy Chupack",1
"Ciro Guerra",1
"Claire Denis",1
"Claire McCarthy",1
"Claire Scanlon",1
"Clara Aranovich",1
"Clare Kilner",2
"Clare Niederpruem",1
"Clark Duke",1
"Clark Johnson",2
"Claude Berri",1
"Claude Desrosiers",1
"Claude Lalonde",1
"Claude Pinoteau",1
"Claude Zidi",2
"Claudia Llosa",1
"Claudia Myers",1
"Claudio Bigagli",1
"Claudio F�h",4
"Claudio Norza",1
"Claus Drexel",1
"Clay Glen",1
"Clay Kaytis",2
"Clay Staub",1
"Clay Tarver",1
"Clea DuVall",1
"Clement Virgo",1
"C�line Sciamma",3
"Clint Eastwood",28
"Clive Barker",1
"Clive Donner",1
"Clive Saunders",1
"Clive Tonge",1
"Clyde Geronimi",1
"Cody Cameron",1
"Cody Cameron|Kris Pearn",1
"Cole Sanchez|Elizabeth Ito",2
"Cole Sharpe",1
"Colin McIvor",1
"Colin Minihan",2
"Colin Minihan|Stuart Ortiz",1
"Colin Strause|Greg Strause",2
"Colin Teague",1
